Data set,"QS World University Rankings 2026 - Citations per Faculty"
Entity,"Universidade Federal de São Carlos"

"Year range","2019 to 2023"
Subject classification,"QS"
Filtered by,"All subject areas"

Types of publications included
Gross,"All types"
QS,"Article, review, conference paper, book, book chapter, article in press"

Self-citations
Gross,Included
QS,Author-level excluded

Data source,Scopus
Date last updated,9 February 2023
Date exported,31 March 2026

Citation per Faculty Score,28.8

"QS metrics","Scholarly Output (QS)","Excluded Scholarly Output","Total Scholarly Output","Citations (QS)","Excluded self-citations","Total Citations","Normalized Total Citation Count (QS)","Weighting Factor (QS)","Weighting Adjustment Ratio (QS)"
Arts & Humanities,323,15,338,637,304,941,2373,14.59,0.26
Engineering & Technology,4902,86,4988,48342,13124,61466,43235,0.63,1.43
Life Sciences & Medicine,5057,209,5266,40278,14560,54838,35201,0.61,1.43
Natural Sciences,4663,103,4766,44875,14236,59111,56364,0.88,1.43
Social Sciences & Management,2359,74,2433,17590,4167,21757,14331,1.8,0.45
Total,17304,487,17791,151722,46391,198113,103898,N/A,N/A
Deduplicated Count,11529,376,11905,94970,30549,125519,N/A,N/A,N/A

"© 2026 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."


