Data set,"QS World University Rankings 2026 - Citations per Faculty"
Entity,"Universidade Federal de São Paulo"

"Year range","2019 to 2023"
Subject classification,"QS"
Filtered by,"All subject areas"

Types of publications included
Gross,"All types"
QS,"Article, review, conference paper, book, book chapter, article in press"

Self-citations
Gross,Included
QS,Author-level excluded

Data source,Scopus
Date last updated,9 February 2023
Date exported,31 March 2026

Citation per Faculty Score,10.4

"QS metrics","Scholarly Output (QS)","Excluded Scholarly Output","Total Scholarly Output","Citations (QS)","Excluded self-citations","Total Citations","Normalized Total Citation Count (QS)","Weighting Factor (QS)","Weighting Adjustment Ratio (QS)"
Arts & Humanities,389,48,437,770,290,1060,2869,14.59,0.26
Engineering & Technology,2259,75,2334,19584,6670,26254,17515,0.63,1.43
Life Sciences & Medicine,12817,1730,14547,120959,61280,182239,105712,0.61,1.43
Natural Sciences,2264,71,2335,17515,6962,24477,21999,0.88,1.43
Social Sciences & Management,1720,104,1824,9717,3598,13315,7917,1.8,0.45
Total,19449,2028,21477,168545,78800,247345,106989,N/A,N/A
Deduplicated Count,15933,1873,17806,139498,67878,207376,N/A,N/A,N/A

"© 2026 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."


