Data set,"QS World University Rankings 2026 - International Research Network Index"
Entity,"Universidade Estadual Paulista Júlio de Mesquita Filho"

"Year range","2019 to 2023"
Subject classification,"QS"
Filtered by,"All subject areas"

Types of publications included
Gross,"All types"
QS,"Article, review, conference paper, book, book chapter, article in press"

Self-citations
Gross,Included
QS,Author-level excluded

Data source,Scopus
Date last updated,9 February 2023
Date exported,31 March 2026

International Research Network (IRN) Score,73.6

"QS metrics","IRN Scholarly Output (QS)","Locations (QS)","Partners (QS)","Non-Scaled International Research Network (IRN) Index (QS)","International Research Network (IRN) Index (QS)"
Arts & Humanities,24,5.0,7.0,2.57,23.32
Engineering & Technology,2716,60.0,482.0,9.71,63.97
Life Sciences & Medicine,5801,72.0,757.0,10.86,57.35
Natural Sciences,2841,64.0,577.0,10.07,64.21
Social Sciences & Management,985,40.0,238.0,7.31,47.71
Total,9066,48.2,412.2,N/A,51.31

"© 2026 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."


